Adanto Vanguard                         W U 2 Y
Dual Shot                               R C 1 N
Fathom Fleet Firebrand                  R C 2 Y
Fiery Cannonade                         R U 3 N
Fire Shrine Keeper                      R C 1 Y
Firecannon Blast                        R C 3 N
Frenzied Raptor                         R C 3 Y
Headstrong Brute                        R C 3 Y
Hijack                                  R C 3 N
Lightning Strike                        R U 2 N
Lightning-Rig Crew                      R U 3 Y
Makeshift Munitions                     R U 2 N
Nest Robber                             R C 2 Y
Otepec Huntmaster                       R U 2 Y
Rampaging Ferocidon                     R R 3 Y
Raptor Hatchling                        R U 2 Y
Repeating Barrage                       R R 3 N
Rigging Runner                          R U 1 Y
Rile                                    R C 1 N
Rowdy Crew                              R M 4 Y
Rummaging Goblin                        R C 3 Y
Star of Extinction                      R M 7 N
Storm Fleet Arsonist                    R U 5 Y
Storm Fleet Pyromancer                  R C 5 Y
Sun-Crowned Hunters                     R C 6 Y
Sunbird's Invocation                    R R 6 N
Sure Strike                             R C 2 N
Swashbuckling                           R C 2 N
Thrash of Raptors                       R C 4 Y
Tilonalli's Knight                      R C 2 Y
Tilonalli's Skinshifter                 R R 3 Y
Trove of Temptation                     R U 4 N
Unfriendly Fire                         R C 5 N
Wily Goblin                             R U 2 Y
Ancient Brontodon                       G C 8 Y
Atzocan Archer                          G U 3 Y
Blinding Fog                            G C 3 N
Blossom Dryad                           G C 3 Y
Carnage Tyrant                          G M 6 Y
Colossal Dreadmaw                       G C 6 Y
Commune with Dinosaurs                  G C 1 N
Crash the Ramparts                      G C 3 N
Crushing Canopy                         G C 3 N
Deathgorge Scavenger                    G R 3 Y
Deeproot Champion                       G R 2 Y
Deeproot Warrior                        G C 2 Y
Drover of the Mighty                    G U 2 Y
Emergent Growth                         G U 4 N
Emperor's Vanguard                      G R 4 Y
Grazing Whiptail                        G C 4 Y
Ixalli's Diviner                        G C 2 Y
Ixalli's Keeper                         G C 2 Y
Jade Guardian                           G C 4 Y
Jungle Delver                           G C 1 Y
Kumena's Speaker                        G U 1 Y
Merfolk Branchwalker                    G U 2 Y
New Horizons                            G C 3 N
Old-Growth Dryads                       G R 1 Y
Pounce                                  G C 2 N
Ranging Raptors                         G U 3 Y
Ravenous Daggertooth                    G C 3 Y
Ripjaw Raptor                           G R 4 Y
River Heralds' Boon                     G C 2 N
Savage Stomp                            G U 3 N
Shapers' Sanctuary                      G R 1 N
Slice in Twain                          G U 4 N
Snapping Sailback                       G U 5 Y
Spike-Tailed Ceratops                   G C 5 Y
Thundering Spineback                    G U 7 Y
Tishana's Wayfinder                     G C 3 Y
Verdant Rebirth                         G U 2 N
Verdant Sun's Avatar                    G R 7 Y
Vineshaper Mystic                       G U 3 Y
Waker of the Wilds                      G R 4 Y
Wildgrowth Walker                       G U 2 Y
Admiral Beckett Brass                   M M 4 Y
Belligerent Brontodon                   M U 7 Y
Call to the Feast                       M U 4 N
Deadeye Plunderers                      M U 5 N
Dire Fleet Captain                      M U 2 Y
Gishath, Sun's Avatar                   M M 8 Y
Hostage Taker                           M R 4 Y
Huatli, Warrior Poet                    M M 5 N
Marauding Looter                        M U 5 Y
Raging Swordtooth                       M U 5 Y
Regisaur Alpha                          M R 5 Y
Shapers of Nature                       M U 3 Y
Sky Terror                              M U 2 Y
Tishana, Voice of Thunder               M M 7 Y
Vona, Butcher of Magan                  M M 5 Y
Vraska, Relic Seeker                    M M 6 N
Legion's Landing                        W R 1 N
Search for Azcanta                      U R 2 N
Arguel's Blood Fast                     B R 2 N
Vance's Blasting Cannons                R R 4 N
Growing Rites of Itlimoc                G R 3 N
Conqueror's Galleon                     C R 4 N
Dowsing Dagger                          C R 2 N
Primal Amulet                           C R 4 N
Thaumatic Compass                       C R 2 N
Treasure Map                            C R 2 N
Cobbled Wings                           C C 2 N
Dusk Legion Dreadnought                 C U 5 N
Elaborate Firecannon                    C U 2 N
Fell Flagship                           C R 3 N
Gilded Sentinel                         C C 4 Y
Hierophant's Chalice                    C C 3 N
Pillar of Origins                       C U 2 N
Pirate's Cutlass                        C C 2 N
Prying Blade                            C C 1 N
Sentinel Totem                          C U 1 N
Shadowed Caravel                        C R 2 N
Sleek Schooner                          C C 3 N
Sorcerous Spyglass                      C R 2 N
Vanquisher's Banner                     C R 5 N
Dragonskull Summit                      L R X N
Drowned Catacomb                        L R X N
Field of Ruin                           L U X N
Glacial Fortress                        L R X N
Rootbound Crag                          L R X N
Sunpetal Grove                          L R X N
Unclaimed Territory                     L U X N
Unknown Shores                          L C X N
